playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470140,2010,Kari Lehtonen,DAL,G,other,69,6846.0,15.71,15.0,249.0,9.48,13.0,25.71,28.0,129.87,122.0,2.32,1.0,73.76,71.0,47.84,50.0,14.53,122.0,37.0,18.0,4.02,4.76,6.94,4.0,6.0,5.0,72.0,0.0,0.0
8470140,2010,Kari Lehtonen,DAL,G,all,69,245351.0,173.43,175.0,3859.0,140.28,136.0,465.27,463.0,2056.84,2043.0,62.3,40.0,1155.44,956.0,863.88,1076.0,165.52,2240.0,463.0,162.0,61.65,56.88,54.9,64.0,54.0,57.0,994.0,6.0,3.0
8470140,2010,Kari Lehtonen,DAL,G,5on5,69,192201.0,112.24,108.0,2871.0,98.96,96.0,364.52,367.0,1539.18,1525.0,45.19,22.0,861.63,705.0,658.02,821.0,109.23,1719.0,343.0,83.0,47.53,42.05,22.66,43.0,40.0,25.0,726.0,6.0,3.0
8470140,2010,Kari Lehtonen,DAL,G,4on5,69,22177.0,39.06,42.0,635.0,28.69,25.0,66.57,58.0,323.36,322.0,1.3,1.0,201.64,168.0,106.33,151.0,35.38,337.0,65.0,51.0,8.58,7.79,22.69,12.0,5.0,25.0,182.0,0.0,0.0
8470140,2010,Kari Lehtonen,DAL,G,5on4,69,24127.0,6.2,10.0,95.0,2.94,2.0,7.64,10.0,60.74,70.0,13.3,15.0,16.69,11.0,49.78,50.0,6.16,58.0,17.0,10.0,1.41,2.19,2.6,5.0,3.0,2.0,10.0,0.0,0.0
8470147,2010,Curtis McElhinney,OTT,G,other,28,1979.0,3.95,2.0,59.0,3.02,2.0,6.05,7.0,31.77,27.0,0.51,0.0,21.57,24.0,9.25,9.0,3.67,27.0,15.0,3.0,1.05,1.9,1.01,0.0,0.0,2.0,14.0,0.0,0.0
8470147,2010,Curtis McElhinney,OTT,G,all,28,83692.0,68.22,74.0,1431.0,54.49,61.0,165.3,136.0,742.85,721.0,18.84,13.0,424.25,342.0,306.2,413.0,65.61,754.0,230.0,59.0,23.8,27.06,17.36,18.0,33.0,23.0,388.0,0.0,0.0
8470147,2010,Curtis McElhinney,OTT,G,5on5,28,66783.0,47.19,54.0,1065.0,38.25,45.0,128.24,104.0,555.65,536.0,14.87,10.0,310.91,235.0,235.06,328.0,45.71,576.0,164.0,38.0,17.53,18.94,10.72,15.0,23.0,16.0,287.0,0.0,0.0
8470147,2010,Curtis McElhinney,OTT,G,4on5,28,8389.0,14.54,16.0,270.0,11.87,13.0,27.15,22.0,131.45,135.0,0.45,0.0,83.43,76.0,45.67,56.0,13.71,128.0,44.0,15.0,4.51,5.35,4.68,3.0,9.0,4.0,83.0,0.0,0.0
8470147,2010,Curtis McElhinney,OTT,G,5on4,28,6541.0,1.77,1.0,24.0,0.79,0.0,1.69,2.0,14.43,13.0,2.79,3.0,3.95,6.0,11.41,11.0,1.77,13.0,4.0,3.0,0.3,0.52,0.95,0.0,0.0,1.0,4.0,0.0,0.0
8473614,2010,Richard Bachman,DAL,G,other,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473614,2010,Richard Bachman,DAL,G,all,1,575.0,0.52,0.0,8.0,0.43,0.0,0.85,1.0,4.43,4.0,0.07,0.0,2.72,4.0,1.36,1.0,0.48,4.0,2.0,0.0,0.18,0.34,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8473614,2010,Richard Bachman,DAL,G,5on5,1,365.0,0.19,0.0,2.0,0.07,0.0,0.14,1.0,0.77,1.0,0.07,0.0,0.34,0.0,0.24,0.0,0.19,0.0,1.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.0,0.0,0.0
