playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8471251,2009,Justin Peters,CAR,G,other,9,945.0,2.89,1.0,32.0,1.22,1.0,3.83,1.0,18.91,14.0,0.77,3.0,9.27,8.0,7.18,13.0,2.79,9.0,12.0,4.0,0.22,1.47,1.21,0.0,0.0,1.0,7.0,0.0,0.0
8471251,2009,Justin Peters,CAR,G,all,9,29280.0,27.37,23.0,475.0,18.41,29.0,60.98,55.0,271.25,241.0,7.89,10.0,143.34,110.0,111.2,142.0,26.57,263.0,76.0,31.0,7.58,9.11,10.68,7.0,6.0,10.0,105.0,0.0,0.0
8471251,2009,Justin Peters,CAR,G,5on5,9,23016.0,16.86,14.0,365.0,12.87,20.0,48.01,48.0,205.04,184.0,5.67,5.0,110.65,85.0,87.03,107.0,16.31,214.0,52.0,16.0,6.34,6.28,4.23,6.0,6.0,2.0,83.0,0.0,0.0
8471251,2009,Justin Peters,CAR,G,4on5,9,2457.0,6.33,7.0,67.0,3.8,7.0,7.89,5.0,38.64,35.0,0.14,0.0,21.0,16.0,11.72,15.0,6.2,35.0,8.0,9.0,0.86,0.83,4.64,1.0,0.0,6.0,15.0,0.0,0.0
8471251,2009,Justin Peters,CAR,G,5on4,9,2862.0,1.29,1.0,11.0,0.52,1.0,1.25,1.0,8.65,8.0,1.32,2.0,2.41,1.0,5.28,7.0,1.26,5.0,4.0,2.0,0.16,0.53,0.6,0.0,0.0,1.0,0.0,0.0,0.0
8470140,2009,Kari Lehtonen,DAL,G,other,12,1366.0,2.4,3.0,34.0,1.12,1.0,2.63,4.0,15.75,15.0,0.42,1.0,7.95,7.0,6.4,7.0,2.28,8.0,11.0,2.0,0.27,1.3,0.83,0.0,2.0,1.0,13.0,0.0,0.0
8470140,2009,Kari Lehtonen,DAL,G,all,12,38578.0,31.54,31.0,654.0,24.58,21.0,77.58,95.0,350.95,350.0,9.7,12.0,196.6,163.0,146.62,170.0,30.43,363.0,97.0,28.0,11.08,11.73,8.73,5.0,14.0,12.0,166.0,0.0,0.0
8470140,2009,Kari Lehtonen,DAL,G,5on5,12,28531.0,21.59,20.0,480.0,17.46,16.0,61.32,76.0,263.17,267.0,6.64,8.0,145.3,118.0,112.04,128.0,20.99,280.0,68.0,18.0,8.94,8.09,4.56,4.0,9.0,7.0,114.0,0.0,0.0
8470140,2009,Kari Lehtonen,DAL,G,4on5,12,4496.0,6.47,7.0,126.0,5.53,4.0,12.33,15.0,61.4,60.0,0.2,0.0,40.06,33.0,20.61,27.0,6.08,67.0,12.0,8.0,1.63,1.5,3.34,1.0,2.0,4.0,39.0,0.0,0.0
8470140,2009,Kari Lehtonen,DAL,G,5on4,12,4185.0,1.07,1.0,14.0,0.47,0.0,1.3,0.0,10.64,8.0,2.44,3.0,3.28,5.0,7.58,8.0,1.07,8.0,6.0,0.0,0.24,0.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8470147,2009,Curtis McElhinney,ANA,G,other,20,2367.0,4.22,4.0,48.0,2.02,2.0,4.81,5.0,26.06,28.0,0.69,1.0,14.08,15.0,9.44,16.0,4.05,25.0,13.0,4.0,1.16,1.66,1.4,0.0,2.0,2.0,6.0,0.0,0.0
8470147,2009,Curtis McElhinney,ANA,G,all,20,61132.0,45.65,51.0,916.0,33.48,31.0,107.2,91.0,485.22,523.0,15.58,15.0,279.67,242.0,200.75,302.0,43.88,570.0,126.0,34.0,18.78,14.78,12.1,23.0,16.0,12.0,186.0,0.0,0.0
8470147,2009,Curtis McElhinney,ANA,G,5on5,20,47383.0,26.9,35.0,667.0,22.58,18.0,80.37,70.0,346.36,382.0,12.11,12.0,199.55,166.0,149.76,224.0,26.36,428.0,82.0,13.0,14.13,9.65,3.12,19.0,12.0,4.0,144.0,0.0,0.0
8470147,2009,Curtis McElhinney,ANA,G,4on5,20,6109.0,13.88,12.0,185.0,8.47,11.0,20.57,14.0,102.03,103.0,0.32,0.0,62.79,57.0,32.64,53.0,12.83,104.0,29.0,17.0,3.06,3.24,7.57,4.0,2.0,6.0,35.0,0.0,0.0
8470147,2009,Curtis McElhinney,ANA,G,5on4,20,5273.0,0.65,0.0,16.0,0.42,0.0,1.45,2.0,10.77,10.0,2.46,2.0,3.26,4.0,8.9,9.0,0.65,13.0,2.0,0.0,0.44,0.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8468011,2009,Ryan Miller,BUF,G,other,69,8382.0,13.4,13.0,224.0,8.53,6.0,22.45,20.0,112.43,111.0,3.01,5.0,67.14,61.0,46.61,60.0,12.86,110.0,47.0,10.0,4.24,5.98,3.19,6.0,4.0,3.0,57.0,0.0,0.0
8468011,2009,Ryan Miller,BUF,G,all,69,241943.0,179.38,150.0,3715.0,139.69,118.0,446.64,467.0,2024.6,2098.0,63.65,75.0,1134.42,873.0,882.66,1217.0,173.26,2169.0,581.0,137.0,67.3,70.4,41.69,59.0,51.0,40.0,828.0,4.0,2.0
8468011,2009,Ryan Miller,BUF,G,5on5,69,190362.0,127.4,115.0,2819.0,100.84,82.0,352.35,374.0,1539.47,1598.0,49.41,61.0,854.5,633.0,669.73,928.0,123.84,1657.0,434.0,86.0,52.07,51.95,23.37,49.0,42.0,24.0,642.0,4.0,2.0
8468011,2009,Ryan Miller,BUF,G,4on5,69,21359.0,30.39,20.0,536.0,26.26,23.0,60.68,65.0,290.54,294.0,1.1,0.0,187.39,156.0,100.3,150.0,28.71,317.0,72.0,34.0,8.44,8.93,13.02,4.0,5.0,11.0,113.0,0.0,0.0
8468011,2009,Ryan Miller,BUF,G,5on4,69,21840.0,7.15,2.0,120.0,3.52,5.0,8.79,8.0,72.49,84.0,9.81,9.0,21.33,20.0,60.37,70.0,6.88,75.0,25.0,6.0,2.2,3.18,1.77,0.0,0.0,2.0,14.0,0.0,0.0
8462117,2009,Vesa Toskala,CGY,G,other,32,3273.0,5.63,6.0,66.0,3.01,3.0,6.92,5.0,36.85,31.0,1.06,1.0,21.13,25.0,12.01,9.0,5.32,35.0,6.0,9.0,1.28,0.76,3.59,1.0,1.0,4.0,16.0,0.0,0.0
8462117,2009,Vesa Toskala,CGY,G,all,32,96297.0,77.94,93.0,1493.0,56.1,40.0,175.7,166.0,808.67,773.0,28.47,28.0,444.05,360.0,331.42,422.0,74.13,817.0,217.0,77.0,23.86,25.87,28.22,37.0,26.0,30.0,382.0,4.0,2.0
8462117,2009,Vesa Toskala,CGY,G,5on5,32,75167.0,47.11,56.0,1125.0,38.58,25.0,135.44,132.0,596.02,573.0,22.93,23.0,326.24,244.0,254.0,338.0,45.63,627.0,156.0,37.0,18.58,18.64,9.89,31.0,16.0,9.0,305.0,4.0,2.0
8462117,2009,Vesa Toskala,CGY,G,4on5,32,8781.0,22.72,28.0,261.0,13.4,12.0,30.19,26.0,152.37,141.0,0.7,0.0,89.11,83.0,47.37,58.0,20.71,134.0,46.0,28.0,3.4,5.4,13.92,4.0,8.0,16.0,53.0,0.0,0.0
8462117,2009,Vesa Toskala,CGY,G,5on4,32,9076.0,2.13,2.0,34.0,0.9,0.0,2.34,2.0,19.81,24.0,3.64,4.0,5.66,7.0,16.43,15.0,2.13,18.0,7.0,3.0,0.46,0.86,0.81,1.0,0.0,1.0,6.0,0.0,0.0
8475080,2009,Johan Backlund,PHI,G,other,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475080,2009,Johan Backlund,PHI,G,all,1,2400.0,2.45,2.0,46.0,1.69,3.0,5.52,7.0,23.29,24.0,0.66,1.0,13.63,6.0,9.92,16.0,2.41,22.0,9.0,3.0,0.75,0.95,0.75,0.0,0.0,2.0,12.0,0.0,0.0
8475080,2009,Johan Backlund,PHI,G,5on5,1,1880.0,1.85,2.0,37.0,1.25,2.0,4.49,6.0,18.68,20.0,0.56,1.0,10.86,5.0,7.94,12.0,1.81,20.0,4.0,3.0,0.67,0.42,0.75,0.0,0.0,2.0,10.0,0.0,0.0
8475080,2009,Johan Backlund,PHI,G,4on5,1,360.0,0.52,0.0,8.0,0.38,1.0,0.94,0.0,3.87,3.0,0.02,0.0,2.52,1.0,1.48,4.0,0.52,2.0,4.0,0.0,0.08,0.44,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8475080,2009,Johan Backlund,PHI,G,5on4,1,120.0,0.09,0.0,1.0,0.06,0.0,0.08,1.0,0.73,1.0,0.08,0.0,0.25,0.0,0.51,0.0,0.09,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470880,2009,Brian Elliott,OTT,G,other,55,5483.0,10.94,6.0,183.0,6.51,5.0,18.76,17.0,90.92,96.0,1.98,0.0,53.4,60.0,34.28,38.0,10.24,95.0,17.0,15.0,3.1,1.96,5.88,1.0,1.0,4.0,56.0,0.0,0.0
8470880,2009,Brian Elliott,OTT,G,all,55,182276.0,120.92,130.0,2657.0,95.74,103.0,316.71,312.0,1394.49,1424.0,45.98,44.0,779.83,620.0,583.04,722.0,117.16,1484.0,343.0,115.0,41.99,41.05,37.87,50.0,49.0,31.0,715.0,0.0,0.0
8470880,2009,Brian Elliott,OTT,G,5on5,55,143406.0,79.33,99.0,1919.0,65.85,76.0,241.53,221.0,1015.86,1019.0,35.56,34.0,562.47,425.0,427.61,545.0,77.58,1102.0,240.0,68.0,31.75,28.87,18.71,42.0,40.0,17.0,509.0,0.0,0.0
8470880,2009,Brian Elliott,OTT,G,4on5,55,17195.0,25.84,23.0,473.0,20.99,17.0,49.77,70.0,238.71,256.0,1.14,4.0,149.39,123.0,80.97,94.0,24.62,241.0,68.0,26.0,6.01,8.2,11.63,7.0,7.0,9.0,138.0,0.0,0.0
8470880,2009,Brian Elliott,OTT,G,5on4,55,16192.0,4.19,2.0,77.0,2.18,4.0,6.2,4.0,46.48,51.0,7.17,6.0,13.88,12.0,39.24,44.0,4.16,46.0,16.0,5.0,1.14,1.76,1.29,0.0,1.0,1.0,10.0,0.0,0.0
8467511,2009,Antero Niittymaki,T.B,G,other,49,6930.0,13.06,7.0,171.0,7.11,7.0,19.04,21.0,96.44,94.0,1.46,1.0,53.33,55.0,37.44,40.0,11.92,77.0,36.0,20.0,2.78,4.32,5.96,2.0,2.0,3.0,38.0,0.0,0.0
8467511,2009,Antero Niittymaki,T.B,G,all,49,159431.0,131.52,127.0,2501.0,98.63,104.0,299.92,285.0,1374.59,1388.0,37.23,27.0,764.87,634.0,577.99,724.0,124.44,1434.0,354.0,129.0,43.57,43.3,44.66,27.0,48.0,52.0,584.0,0.0,0.0
8467511,2009,Antero Niittymaki,T.B,G,5on5,49,117593.0,79.24,79.0,1786.0,64.41,65.0,222.89,215.0,971.42,973.0,26.14,15.0,540.54,449.0,420.48,520.0,77.02,1052.0,255.0,52.0,33.63,31.18,14.42,21.0,39.0,19.0,427.0,0.0,0.0
8467511,2009,Antero Niittymaki,T.B,G,4on5,49,17721.0,34.93,38.0,472.0,24.85,31.0,52.51,42.0,262.09,275.0,1.41,1.0,157.51,122.0,84.83,121.0,31.22,259.0,51.0,53.0,5.56,6.31,23.05,3.0,5.0,30.0,109.0,0.0,0.0
8467511,2009,Antero Niittymaki,T.B,G,5on4,49,17187.0,4.18,3.0,68.0,2.16,1.0,5.22,7.0,43.13,44.0,8.09,10.0,12.8,8.0,34.44,41.0,4.17,44.0,12.0,4.0,1.48,1.48,1.21,1.0,2.0,0.0,8.0,0.0,0.0
8470320,2009,Cam Ward,CAR,G,other,46,6163.0,12.86,13.0,146.0,6.7,8.0,16.07,11.0,85.53,86.0,1.91,3.0,47.37,44.0,30.22,38.0,12.11,64.0,37.0,15.0,1.92,4.8,6.15,2.0,3.0,8.0,30.0,0.0,0.0
8470320,2009,Cam Ward,CAR,G,all,46,155176.0,137.86,117.0,2509.0,99.12,110.0,301.61,266.0,1384.42,1371.0,38.91,34.0,752.99,645.0,562.47,713.0,132.67,1326.0,447.0,126.0,41.17,53.95,42.73,32.0,43.0,42.0,610.0,0.0,0.0
8470320,2009,Cam Ward,CAR,G,5on5,46,117801.0,89.89,74.0,1853.0,69.13,79.0,231.36,208.0,1021.56,997.0,29.49,25.0,552.19,464.0,421.09,539.0,87.16,1001.0,322.0,73.0,31.88,38.91,19.09,25.0,33.0,16.0,457.0,0.0,0.0
8470320,2009,Cam Ward,CAR,G,4on5,46,16749.0,30.35,26.0,433.0,20.93,18.0,47.83,42.0,230.94,240.0,1.25,0.0,138.14,123.0,76.29,101.0,28.81,216.0,72.0,34.0,5.84,8.26,16.24,3.0,6.0,17.0,111.0,0.0,0.0
8470320,2009,Cam Ward,CAR,G,5on4,46,14463.0,3.03,4.0,62.0,1.67,3.0,4.61,3.0,36.66,40.0,6.15,6.0,11.38,12.0,31.22,30.0,2.97,41.0,11.0,1.0,1.39,1.34,0.3,2.0,1.0,1.0,9.0,0.0,0.0
8460712,2009,Tomas Vokoun,FLA,G,other,63,7328.0,12.04,8.0,220.0,8.29,6.0,23.72,26.0,116.39,112.0,2.48,0.0,65.4,67.0,48.73,50.0,10.59,119.0,31.0,12.0,3.87,3.56,4.6,4.0,1.0,3.0,58.0,0.0,0.0
8460712,2009,Tomas Vokoun,FLA,G,all,63,221701.0,180.26,157.0,3862.0,139.18,150.0,450.49,466.0,2036.47,2082.0,54.91,47.0,1132.41,897.0,868.32,1106.0,173.51,2197.0,465.0,174.0,64.72,54.65,60.9,49.0,37.0,71.0,1026.0,0.0,0.0
8460712,2009,Tomas Vokoun,FLA,G,5on5,63,174855.0,124.46,103.0,2953.0,101.15,110.0,354.42,375.0,1547.06,1600.0,41.79,40.0,855.23,657.0,664.44,861.0,121.03,1680.0,362.0,107.0,51.48,42.38,30.6,39.0,30.0,34.0,804.0,0.0,0.0
8460712,2009,Tomas Vokoun,FLA,G,4on5,63,18251.0,37.28,41.0,582.0,26.25,30.0,62.77,50.0,301.57,294.0,1.06,1.0,188.34,155.0,104.28,144.0,35.59,329.0,51.0,49.0,7.19,6.24,23.85,5.0,4.0,32.0,153.0,0.0,0.0
8460712,2009,Tomas Vokoun,FLA,G,5on4,63,21267.0,6.04,5.0,94.0,2.95,4.0,8.08,10.0,64.05,67.0,9.37,6.0,18.6,13.0,47.43,50.0,5.87,61.0,18.0,6.0,2.0,2.2,1.84,1.0,2.0,2.0,9.0,0.0,0.0
8475361,2009,Jonas Gustavsson,TOR,G,other,42,3904.0,9.45,15.0,122.0,4.39,4.0,13.29,6.0,66.5,63.0,2.32,1.0,36.37,31.0,25.26,34.0,9.04,49.0,31.0,11.0,1.75,3.62,4.07,2.0,5.0,8.0,31.0,0.0,0.0
8475361,2009,Jonas Gustavsson,TOR,G,all,42,140376.0,102.18,112.0,2202.0,78.52,59.0,253.22,212.0,1156.07,1146.0,40.06,33.0,648.28,567.0,493.0,630.0,97.86,1176.0,354.0,82.0,33.39,41.01,27.78,38.0,39.0,35.0,590.0,2.0,1.0
8475361,2009,Jonas Gustavsson,TOR,G,5on5,42,112413.0,69.44,76.0,1690.0,56.39,38.0,197.94,167.0,876.53,876.0,31.63,30.0,487.79,423.0,380.01,486.0,67.95,911.0,262.0,46.0,26.1,30.57,12.77,34.0,25.0,17.0,471.0,2.0,1.0
8475361,2009,Jonas Gustavsson,TOR,G,4on5,42,11099.0,20.33,20.0,330.0,16.2,16.0,36.96,36.0,179.37,174.0,0.4,0.0,113.41,107.0,60.91,73.0,17.96,183.0,48.0,23.0,4.72,5.34,10.27,2.0,9.0,9.0,76.0,0.0,0.0
8475361,2009,Jonas Gustavsson,TOR,G,5on4,42,12960.0,2.1,0.0,47.0,1.21,0.0,3.9,3.0,27.77,30.0,5.48,2.0,8.11,5.0,23.91,32.0,2.1,28.0,11.0,1.0,0.6,1.27,0.22,0.0,0.0,0.0,7.0,0.0,0.0
8473975,2009,Erik Ersberg,L.A,G,other,11,866.0,2.1,2.0,25.0,1.28,4.0,3.44,5.0,15.69,16.0,0.67,1.0,8.36,5.0,5.11,4.0,1.78,13.0,6.0,2.0,0.27,0.92,0.91,0.0,1.0,1.0,4.0,0.0,0.0
8473975,2009,Erik Ersberg,L.A,G,all,11,33061.0,22.9,22.0,429.0,16.53,25.0,54.3,51.0,240.37,234.0,9.46,7.0,129.08,95.0,101.09,130.0,21.66,243.0,65.0,24.0,7.3,8.01,7.58,9.0,7.0,6.0,97.0,0.0,0.0
8473975,2009,Erik Ersberg,L.A,G,5on5,11,25013.0,12.17,13.0,303.0,10.02,11.0,38.26,31.0,160.44,159.0,6.53,6.0,88.09,67.0,70.27,95.0,11.96,179.0,35.0,10.0,5.29,4.27,2.61,7.0,5.0,1.0,79.0,0.0,0.0
8473975,2009,Erik Ersberg,L.A,G,4on5,11,3098.0,6.43,6.0,76.0,4.15,8.0,9.9,14.0,47.01,44.0,0.21,0.0,26.59,16.0,15.22,19.0,5.85,37.0,19.0,8.0,1.18,2.32,2.93,2.0,1.0,3.0,12.0,0.0,0.0
8473975,2009,Erik Ersberg,L.A,G,5on4,11,4084.0,1.27,1.0,14.0,0.51,2.0,1.29,0.0,9.3,8.0,1.78,0.0,2.72,3.0,6.92,7.0,1.18,9.0,1.0,3.0,0.35,0.13,0.79,0.0,0.0,1.0,1.0,0.0,0.0
8466141,2009,Roberto Luongo,VAN,G,other,68,10488.0,12.32,10.0,201.0,7.82,7.0,21.7,27.0,109.15,107.0,3.48,4.0,61.11,56.0,43.38,40.0,11.89,97.0,38.0,15.0,3.45,4.55,4.32,2.0,4.0,4.0,51.0,0.0,0.0
